"","HHId","ComunID","Round","Animals.value","TraditionalAssets.value","IndustrialAssets.value","Total.value","Nfields","HHmale","HHAge","route.distance.SB","ComunSize","HHSize"
"523","HH0424",203,2,162.5,780,679.805,1622.305,NA,1,23,50,78,3
"524","HH0425",203,2,345,730,745.215,1820.215,NA,1,32,50,78,7
"525","HH0426",203,2,327.5,930,4511.17,5768.67,NA,1,24,50,78,5
"526","HH0427",203,2,4860,360,2206.585,7426.585,NA,1,23,50,78,9
"527","HH0428",203,2,1232.5,670,4362.755,6265.255,NA,1,53,50,78,3
"528","HH0429",203,2,0,630,1314.607,1944.607,NA,1,45,50,78,5
"529","HH0430",203,2,310,260,2017.955,2587.955,NA,1,44,50,78,6
"530","HH0431",203,2,445,620,4570.055,5635.055,2,1,43,50,78,6
"531","HH0432",203,2,127.5,260,184.685,572.185,NA,1,25,50,78,3
"532","HH0433",203,2,255,740,2393.66,3388.66,NA,1,57,50,78,5
"533","HH0434",120,3,405,570,5496.79,6471.79,NA,1,32,12,87,2
"534","HH0435",120,3,792.5,830,4032.18,5654.68,NA,1,57,12,87,2
"535","HH0436",120,3,702.5,1210,1771.59,3684.09,NA,1,42,12,87,2
"536","HH0437",120,3,1715,940,2342.51,4997.51,NA,1,47,12,87,2
"537","HH0438",120,3,130,110,2850.61,3090.61,NA,1,29,12,87,2
"538","HH0439",120,3,202.5,380,1311.275,1893.775,NA,1,24,12,87,2
"539","HH0440",120,3,465,800,3212.925,4477.925,NA,1,52,12,87,2
"540","HH0441",120,3,1180,965,1398.39,3543.39,NA,1,27,12,87,2
"541","HH0442",120,3,280,590,1605.62,2475.62,NA,1,26,12,87,2
"542","HH0443",120,3,60,390,1607.77,2057.77,NA,0,42,12,87,1
"543","HH0444",120,3,150,1230,11044.06,12424.06,NA,1,70,12,87,2
"544","HH0445",120,3,1370,1100,5650.2,8120.2,NA,1,39,12,87,2
"545","HH0446",120,3,260,910,5468.155,6638.155,NA,1,57,12,87,2
"546","HH0447",120,3,277.5,560,1236.665,2074.165,NA,1,25,12,87,2
"547","HH0448",120,3,635,480,1707.25,2822.25,NA,1,28,12,87,2
"548","HH0449",120,3,330,570,1473.055,2373.055,NA,1,32,12,87,2
"549","HH0450",120,3,1260,530,5379.97,7169.97,NA,1,56,12,87,2
"550","HH0451",120,3,95,620,2987.64,3702.64,NA,1,30,12,87,2
"551","HH0452",51,2,4080,2610,3055.305,9745.305,4,1,43,107,346,8
"552","HH0452",51,3,1720,4980,7601.315,14301.315,3,1,49,107,346,8
"553","HH0453",51,2,515,1300,5096.31,6911.31,NA,1,32,107,346,9
"554","HH0454",51,3,2305,330,2094.145,4729.145,NA,1,32,107,346,4
"555","HH0454",51,2,920,1010,4647.17,6577.17,2,1,26,107,346,4
"556","HH0455",51,3,595,2740,4764.92,8099.92,NA,1,36,107,346,9
"557","HH0456",51,2,1002.5,2260,5124.66,8387.16,2,1,68,107,346,2
"558","HH0457",51,3,437.5,2060,585.78,3083.28,NA,1,31,107,346,5
"559","HH0457",51,2,92.5,570,708.81,1371.31,3,1,26,107,346,5
"560","HH0458",51,2,165,2050,830.665,3045.665,2,1,40,107,346,1
"561","HH0459",51,2,882.5,3090,4401.23,8373.73,3,1,38,107,346,8
"562","HH0459",51,3,7300,2720,4653.315,14673.315,0,1,44,107,346,8
"563","HH0460",51,3,6295,2420,4988.075,13703.075,1,1,41,107,346,8
"564","HH0460",51,2,3737.5,2760,4550.66,11048.16,3,1,35,107,346,8
"565","HH0461",51,2,4865,4720,5431.94,15016.94,2,1,48,107,346,14
"566","HH0461",51,3,1860,3120,6235.64,11215.64,3,1,54,107,346,14
"567","HH0462",51,3,695,5455,4789.475,10939.475,NA,1,27,107,346,2
"568","HH0463",51,2,11845,460,5748.82,18053.82,NA,1,23,107,346,6
"569","HH0463",51,3,482.5,270,7175.41,7927.91,NA,1,29,107,346,6
"570","HH0464",51,2,1870,2780,4412.175,9062.175,6,1,40,107,346,4
"571","HH0465",51,2,782.5,2320,5448.91,8551.41,2,1,36,107,346,8
"572","HH0465",51,3,960,6890,8412.31,16262.31,2,1,42,107,346,8
"573","HH0466",51,2,550,2760,4392.035,7702.035,3,1,38,107,346,6
"574","HH0466",51,3,1545,2730,1494.365,5769.365,4,1,44,107,346,6
"575","HH0467",51,2,785,410,1747.03,2942.03,NA,1,25,107,346,4
"576","HH0468",51,2,10585,4980,5754.22,21319.22,2,1,39,107,346,10
"577","HH0469",51,2,3605,2370,1248.995,7223.995,4,1,23,107,346,4
"578","HH0470",51,2,1557.5,3045,4284.43,8886.93,3,1,36,107,346,9
"579","HH0470",51,3,1085,660,4442.68,6187.68,3,1,42,107,346,9
"580","HH0471",51,2,1072.5,2410,4504.07,7986.57,3,1,35,107,346,6
"581","HH0472",51,2,1875,2460,4685.955,9020.955,3,1,35,107,346,7
"582","HH0473",51,2,2945,2570,3057.745,8572.745,2,0,61,107,346,8
"583","HH0474",51,3,447.5,210,4313.665,4971.165,4,1,50,107,346,3
"584","HH0474",51,2,165,2420,4227.88,6812.88,2,1,44,107,346,3
"585","HH0475",51,3,3432.5,4710,473.92,8616.42,NA,1,35,107,346,5
"586","HH0475",51,2,527.5,620,1047.58,2195.08,NA,1,29,107,346,5
"587","HH0476",51,2,130,460,465.1,1055.1,NA,1,28,107,346,2
"588","HH0477",51,2,415,560,1034.29,2009.29,NA,1,36,107,346,6
"589","HH0478",51,3,5330,570,5557.445,11457.445,5,1,63,107,346,8
"590","HH0479",51,3,367.5,560,390.6,1318.1,NA,1,25,107,346,3
"591","HH0480",51,2,1147.5,820,2278.275,4245.775,2,0,61,107,346,3
"592","HH0481",51,2,257.5,4760,5265.615,10283.115,2,0,66,107,346,7
"593","HH0482",51,3,120,2200,1364.22,3684.22,2,1,62,107,346,9
"594","HH0482",51,2,135,3070,4627.545,7832.545,2,1,55,107,346,9
"595","HH0483",51,3,675,475,5164.345,6314.345,NA,1,59,107,346,2
"596","HH0484",51,3,1642.5,730,4804.725,7177.225,2,1,41,107,346,7
"597","HH0484",51,2,2437.5,1145,2556.125,6138.625,1,1,35,107,346,7
"598","HH0485",51,2,185,410,1516.325,2111.325,2,1,81,107,346,1
"599","HH0486",51,2,2095,2720,1865.39,6680.39,2,1,64,107,346,5
"600","HH0487",51,2,1370,2460,1065.095,4895.095,2,1,41,107,346,9
"601","HH0487",51,3,222.5,270,1973.495,2465.995,NA,1,47,107,346,9
"602","HH0488",51,2,620,935,2466.54,4021.54,NA,1,33,107,346,5
"603","HH0489",51,3,3955,900,3983.965,8838.965,NA,1,43,107,346,2
"604","HH0490",51,2,517.5,2610,5113.105,8240.605,NA,1,32,107,346,3
"605","HH0491",51,3,6572.5,7360,7106.585,21039.085,2,1,52,107,346,8
"606","HH0491",51,2,2270,2460,4656.015,9386.015,7,1,46,107,346,8
"607","HH0492",51,3,220,260,278.235,758.235,NA,1,27,107,346,5
"608","HH0493",51,2,790,2700,3730.89,7220.89,3,1,35,107,346,8
"609","HH0494",51,2,725,2560,930.055,4215.055,2,1,36,107,346,6
"610","HH0495",51,2,2445,870,2012.44,5327.44,3,1,28,107,346,7
"611","HH0496",51,2,3845,2830,5535.515,12210.515,2,1,39,107,346,2
"612","HH0497",51,2,3350,2755,603.15,6708.15,2,1,34,107,346,5
"613","HH0498",51,2,127.5,4460,4658.43,9245.93,4,1,44,107,346,11
"614","HH0498",51,3,750,2760,4837.13,8347.13,1,1,50,107,346,11
"615","HH0499",51,3,0,2430,1417.79,3847.79,4,1,31,107,346,8
"616","HH0500",51,2,797.5,4730,7045.295,12572.795,2,1,46,107,346,4
"617","HH0501",51,3,1795,5200,4970.815,11965.815,1,1,40,107,346,8
"618","HH0501",51,2,2407.5,2770,3732.55,8910.05,5,1,34,107,346,8
"619","HH0502",51,2,1162.5,2580,4938.915,8681.415,NA,1,34,107,346,8
"620","HH0503",51,2,1305,410,1255.455,2970.455,NA,1,31,107,346,6
"621","HH0504",51,2,305,2410,4608.91,7323.91,1,0,53,107,346,5
"622","HH0505",51,3,185,2520,1529.005,4234.005,3,1,48,107,346,7
